Date,Year,Artist / Project,City,Venue,Country,Section,Position,Song,Counts as Song,Setlist Status,Source URL
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,1,Jailbreak,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,2,Suffragette City,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,3,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,4,A Night Like This,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,5,Wild Thing,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1977-06-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,1,...,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-06-03.php
1977-06-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,2,I Wish I Was Your Mother,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-06-03.php
1977-06-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,3,...,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-06-03.php
1977-07-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,1,...,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-07-03.php
1977-07-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,2,I Wish I Was Your Mother,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-07-03.php
1977-07-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,3,...,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-07-03.php
1977-12-04,1977,Easy Cure,Crawley,The Rocket,England,Mainset,1,Heroin Face,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-12-04.php
1977-12-31,1977,Easy Cure,Orpington,General Hospital,England,Mainset,1,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-12-31.php
1977-12-31,1977,Easy Cure,Orpington,General Hospital,England,Mainset,2,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-12-31.php
1977-12-31,1977,Easy Cure,Orpington,General Hospital,England,Encore 1,1,Tie A Yellow Ribbon,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-12-31.php
1978-04-22,1978,Easy Cure,Crawley,Montefiore Institute Hall,England,Mainset,1,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-04-22.php
1978-11-24,1978,The Cure,High Wycombe,Town Hall,England,Mainset,1,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-11-24.php
1978-11-24,1978,The Cure,High Wycombe,Town Hall,England,Mainset,2,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-11-24.php
1978-12-01,1978,The Cure,Birmingham,Aston University,England,Mainset,1,Paranoid (*),Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-12-01.php
1978-12-19,1978,The Cure,London,Hope & Anchor,England,Mainset,1,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-12-19.php
1978-12-20,1978,The Cure,London,Moonlight Club / Railway Hotel,England,Mainset,1,It's Not You,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-12-20.php
1978-12-20,1978,The Cure,London,Moonlight Club / Railway Hotel,England,Mainset,2,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-12-20.php
1978-12-20,1978,The Cure,London,Moonlight Club / Railway Hotel,England,Mainset,3,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-12-20.php
1978-12-20,1978,The Cure,London,Moonlight Club / Railway Hotel,England,Mainset,4,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-12-20.php
1978-12-20,1978,The Cure,London,Moonlight Club / Railway Hotel,England,Mainset,5,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-12-20.php
1979-01-27,1979,The Cure,London,The Marquee,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-01-27.php
1979-01-27,1979,The Cure,London,The Marquee,England,Mainset,2,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-01-27.php
1979-02-09,1979,The Cure,London,The Nashville Room,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-02-09.php
1979-02-09,1979,The Cure,London,The Nashville Room,England,Mainset,2,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-02-09.php
1979-03-02,1979,The Cure,Newport,The Village,England,Mainset,1,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-02.php
1979-03-02,1979,The Cure,Newport,The Village,England,Mainset,2,MacArthur Park,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-02.php
1979-03-02,1979,The Cure,Newport,The Village,England,Mainset,3,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-02.php
1979-03-02,1979,The Cure,Newport,The Village,England,Encore 1,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-02.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,4,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,5,Object,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,6,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,7,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,8,Meathook,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,9,Three Imaginary Boys,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,10,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,11,Plastic Passion,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,12,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Mainset,13,It's Not You,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Encore 1,1,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Encore 1,2,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-04,1979,The Cure,London,The Marquee,England,Encore 1,3,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-04.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,4,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,5,Object,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,6,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,7,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,8,Meathook,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,9,Three Imaginary Boys,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,10,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,11,Plastic Passion,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,12,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Mainset,13,It's Not You,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Encore 1,1,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Encore 1,2,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-11,1979,The Cure,London,The Marquee,England,Encore 1,3,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-11.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,4,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,5,Object,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,6,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,7,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,8,Meathook,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,9,Three Imaginary Boys,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,10,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,11,Plastic Passion,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,12,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Mainset,13,It's Not You,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Encore 1,1,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Encore 1,2,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-18,1979,The Cure,London,The Marquee,England,Encore 1,3,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-18.php
1979-03-30,1979,The Cure,Cromer,West Runton Pavilion,England,Mainset,1,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-30.php
1979-03-30,1979,The Cure,Cromer,West Runton Pavilion,England,Mainset,2,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-30.php
1979-03-30,1979,The Cure,Cromer,West Runton Pavilion,England,Mainset,3,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-03-30.php
1979-04-03,1979,The Cure,Chippenham,Neeld Hall,England,Mainset,1,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-04-03.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,4,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,5,Object,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,6,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,7,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,8,Plastic Passion,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,9,Three Imaginary Boys,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,10,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,11,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Mainset,12,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Encore 1,1,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Encore 1,2,It's Not You,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-24,1979,The Cure,Exeter,Routes,England,Encore 2,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-24.php
1979-05-29,1979,The Cure,Sheffield,the Limit Club,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-29.php
1979-05-29,1979,The Cure,Sheffield,the Limit Club,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-29.php
1979-05-29,1979,The Cure,Sheffield,the Limit Club,England,Mainset,3,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-29.php
1979-05-29,1979,The Cure,Sheffield,the Limit Club,England,Mainset,4,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-29.php
1979-05-29,1979,The Cure,Sheffield,the Limit Club,England,Mainset,5,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-29.php
1979-05-29,1979,The Cure,Sheffield,the Limit Club,England,Mainset,6,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-29.php
1979-05-29,1979,The Cure,Sheffield,the Limit Club,England,Encore 1,1,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-05-29.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,4,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,5,Object,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,6,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,7,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,8,Plastic Passion,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,9,Three Imaginary Boys,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,10,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,11,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Mainset,12,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Encore 1,1,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Encore 1,2,It's Not You,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Encore 2,1,Meathook,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-06-01,1979,The Cure,Carshalton,Carshalton Park,England,Encore 2,2,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-06-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,4,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,5,Object,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,6,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,7,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,8,Three Imaginary Boys,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,9,Plastic Passion,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,10,It's Not You,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,11,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Mainset,12,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Encore 1,1,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-07-01,1979,The Cure,London,Lyceum Ballroom,England,Encore 1,2,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-07-01.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,4,Another Day,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,5,Object,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,6,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,7,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,8,Plastic Passion,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,9,Three Imaginary Boys,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,10,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,11,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Mainset,12,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-24,1979,The Cure,Reading,Richfield Avenue,England,Encore 1,1,Do The Hansa,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-24.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,4,Play For Today,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,5,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,6,Plastic Passion,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,7,Three Imaginary Boys,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,8,Boys Don't Cry,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,9,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Mainset,10,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Encore 1,1,Object,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-29,1979,The Cure,Bournemouth,Stateside Center,England,Encore 1,2,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-29.php
1979-08-30,1979,The Cure,Aylesbury,Friars at the Maxwell Hall,England,Mainset,1,Play For Today,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-30.php
1979-08-30,1979,The Cure,Aylesbury,Friars at the Maxwell Hall,England,Mainset,2,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-08-30.php
1979-09-07,1979,The Cure,Aberdeen,Capitol Theatre,Scotland,Mainset,1,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-09-07.php
1979-09-07,1979,The Cure,Aberdeen,Capitol Theatre,Scotland,Mainset,2,Accuracy,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-09-07.php
1979-09-07,1979,The Cure,Aberdeen,Capitol Theatre,Scotland,Mainset,3,Grinding Halt,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-09-07.php
1979-09-07,1979,The Cure,Aberdeen,Capitol Theatre,Scotland,Mainset,4,Play For Today,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-09-07.php
1979-09-07,1979,The Cure,Aberdeen,Capitol Theatre,Scotland,Mainset,5,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-09-07.php
1979-09-07,1979,The Cure,Aberdeen,Capitol Theatre,Scotland,Mainset,6,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1979-09-07.php
